"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3236","User login with wrong email or password","LMS system","2026-02-05","passed","2026-02-05","Authorization","Authentication","",""
"","3618","User login with wrong email or password","LMS system","2026-02-05","passed","2026-02-05","Authorization","Authentication","",""
"","6005","Check displaying of dashboard page","LMS system","2026-02-05","passed","2026-02-05","Dashboard","Dashboard","",""
"","4231","Navigation from login page to registration page","LMS system","2026-02-05","passed","2026-02-05","Authorization","Authentication","",""
"","4344","Edit course","LMS system","2026-02-05","passed","2026-02-05","Courses","Courses","",""
"","4005","Check displaying of empty courses list","LMS system","2026-02-05","passed","2026-02-05","Courses","Courses","",""
"","5191","Registration with correct email, username and password","LMS system","2026-02-05","passed","2026-02-05","Registration","Authentication","",""
"","5261","Create course","LMS system","2026-02-05","passed","2026-02-05","Courses","Courses","",""
"","5085","User login with correct email and password","LMS system","2026-02-05","passed","2026-02-05","Authorization","Authentication","",""
"","5817","User login with wrong email or password","LMS system","2026-02-05","passed","2026-02-05","Authorization","Authentication","",""
